id,price
9086520,5490000
9086521,10950000
9086522,10500000
9086523,6200000
9086524,3100000
9086525,2500000
9086526,3030000
9086527,4283339
9086528,39055555
9086529,2950000
9086530,1450000
9086531,4360000
9086532,4226000
9086533,1300000
9086534,2400000
9086535,3921600
9086536,2990000
9086537,2500000
9086538,3012651
9086539,4400000
9086540,1700000
9086541,4000000
9086542,3350000
9086543,11500000
9086544,4900000
9086545,4600000
9086546,3000000
9086547,2750000
9086548,1390000
9086549,16400000
9086550,1430000
9086551,1600000
9086552,3090000
9086553,2900000
9086554,4520000
9086555,1750000
9086556,10500000
9086557,1950000
9086558,2900000
9086559,4300000
9086560,2800000
9086561,6530000
9086562,4150000
9086563,1680000
9086564,3600000
9086565,3300000
9086566,2500000
9086567,2760000
9086568,5300000
9086569,9500000
9086570,6500000
9086571,3760000
9086572,2840000
9086573,1200000
9086574,3350000
9086575,3500000
9086576,3300000
9086577,5430000
9086578,4850000
9086579,1800000
9086580,1800000
9086581,3370000
9086582,2650000
9086583,4600000
9086584,4200000
9086585,9000000
9086586,790000
9086587,3900000
9086588,7300000
9086589,2050000
9086590,3300000
9086591,6500000
9086592,6700000
9086593,2200000
9086594,2650000
9086595,6590000
9086596,3850000
9086597,890000
9086598,4200000
9086599,2950000
9086600,1490000
9086601,850000
9086602,16500000
9086603,6700000
9086604,4791000
9086605,2650000
9086606,3900000
9086607,9620000
9086608,6100000
9086609,7000000
9086610,7000000
9086611,8180880
9086612,7000000
9086613,8500000
9086614,3000000
9086615,1660000
9086616,5000000
9086617,4300000
9086618,11590000
9086619,3400000
9086620,20000000
9086621,6900000
9086622,10500000
9086623,9800000
9086624,2550000
9086625,3200000
9086626,2070000
9086627,4900000
9086628,3000000
9086629,29172298
9086630,7700000
9086631,5000000
9086632,4100000
9086633,2900000
9086634,4400000
9086635,580000
9086636,2550000
9086637,1950000
9086638,5670000
9086639,4500000
9086640,5650000
9086641,5650000
9086642,40202653
9086643,5790000
9086644,2170000
9086645,5100000
9086646,4200000
9086647,1400000
9086648,1130000
9086649,3250000
9086650,18200000
9086651,3350000
9086652,4400000
9086653,4850000
9086654,5100000
9086655,3850000
9086656,1050000
9086657,6700000
9086658,6200000
9086659,3500000
9086660,18300000
9086661,3116700
9086662,2490000
9086663,12000000
9086664,2750000
9086665,3290000
9086666,3268800
9086667,10500000
9086668,5300000
9086669,3500000
9086670,6900000
9086671,1150000
9086672,4900000
9086673,13000000
9086674,11200000
9086675,6340246
9086676,5990000
9086677,6900000
9086678,1120000
9086679,1650000
9086680,5700000
9086681,1700000
9086682,4970000
9086683,7700000
9086684,2200000
9086685,7800000
9086686,2490000
9086687,2700000
9086688,9740000
9086689,1350000
9086690,2799000
9086691,8000000
9086692,3700000
9086693,3050000
9086694,11600000
9086695,3490000
9086696,6938740
9086697,2900000
9086698,6600000
9086699,4750000
9086700,2500000
9086701,3370000
9086702,5690000
9086703,2361000
9086704,3258000
9086705,3258900
9086706,3305684
9086707,2923200
9086708,3100000
9086709,1799000
9086710,4000000
9086711,156577080
9086712,2750000
9086713,2000000
9086714,12385000
9086715,5300000
9086716,12300000
9086717,14900000
9086718,3246300
9086719,3500000
9086720,9250000
9086721,2250000
9086722,2600000
9086723,12300000
9086724,450000
9086725,1450000
9086726,9250000
9086727,3650000
9086728,3600000
9086729,7000000
9086730,12799000
9086731,2430000
9086732,2361000
9086733,2000000
9086734,8500000
9086735,3090000
9086736,3980000
9086737,13000000
9086738,15000000
9086739,3600000
9086740,1000001
9086741,2800000
9086742,3600000
9086743,3180000
9086744,5250000
9086745,2900000
9086746,2450000
9086747,2334000
9086748,9450203
9086749,2390000
9086750,2690000
9086751,10500000
9086752,1250000
9086753,2700000
9086754,1400000
9086755,2330710
9086756,2680000
9086757,2360000
9086758,4537000
9086759,1600000
9086760,2990000
9086761,2450000
9086762,1550000
9086763,3650000
9086764,3862800
9086765,3150000
9086766,2427000
9086767,4300000
9086768,4850000
9086769,2300000
9086770,3250000
9086771,6740000
9086772,4160000
9086773,3841960
9086774,2690000
9086775,3200000
9086776,3450000
9086777,1500000
9086778,3150000
9086779,1499000
9086780,3750000
9086781,3400000
9086782,3900000
9086783,3653100
9086784,4500000
9086785,4850000
9086786,4283339
9086787,5250000
9086788,10190000
9086789,3700000
9086790,3140000
9086791,3350000
9086792,2400000
9086793,4850000
9086794,17000000
9086795,5315316
9086796,2426000
9086797,6724000
9086798,3500000
9086799,2460000
9086800,2850000
9086801,3450000
9086802,8300000
9086803,1850000
9086804,4100000
9086805,3846550
9086806,1100000
9086807,850000
9086808,2380000
9086809,3510000
9086810,4386000
9086811,10700000
9086812,3600000
9086813,3200000
9086814,1350000
9086815,9600000
9086816,3657500
9086817,4250000
9086818,3700000
9086819,4350000
9086820,12000000
9086821,2883600
9086822,3600000
9086823,47000000
9086824,3500000
9086825,3890000
9086826,3158100
9086827,3339547
9086828,1700000
9086829,4650000
9086830,2100000
9086831,1320000
9086832,4150000
9086833,5900000
9086834,9800000
9086835,2790000
9086836,4480000
9086837,1200000
9086838,3420000
9086839,5449999
9086840,7500000
9086841,2331100
9086842,2819000
9086843,15300000
9086844,2450000
9086845,3500000
9086846,2999000
9086847,4440002
9086848,19900000
9086849,4677550
9086850,3300000
9086851,2200000
9086852,4785000
9086853,3300000
9086854,3999000
9086855,15700000
9086856,4500000
9086857,4780000
9086858,5600000
9086859,1700000
9086860,3417150
9086861,5500000
9086862,2550000
9086863,4780000
9086864,14200000
9086865,3850000
9086866,2000000
9086867,1050000
9086868,2000000
9086869,5995000
9086870,10150000
9086871,1850000
9086872,7200000
9086873,2100000
9086874,5000000
9086875,7200000
9086876,3400000
9086877,6500000
9086878,3700000
9086879,3900000
9086880,21990000
9086881,3450000
9086882,1590000
9086883,1450000
9086884,2590000
9086885,3190000
9086886,3450000
9086887,3480000
9086888,3100000
9086889,4950000
9086890,5800000
9086891,4165939
9086892,1400000
9086893,1350000
9086894,10700000
9086895,2986560
9086896,4100000
9086897,2600000
9086898,2318000
9086899,4700000
9086900,2490000
9086901,4094000
9086902,3444300
9086903,5350000
9086904,3400000
9086905,2141440
9086906,1650000
9086907,2427000
9086908,3000000
9086909,2300000
9086910,2600000
9086911,3700000
9086912,1750000
9086913,2100000
9086914,5790000
9086915,3249900
9086916,5329160
9086917,7200000
9086918,15000000
9086919,4200000
9086920,4800000
9086921,2050000
9086922,9300000
9086923,2050000
9086924,12000000
9086925,10100000
9086926,10000000
9086927,5350000
9086928,3499000
9086929,3401060
9086930,2700000
9086931,1600000
9086932,1700000
9086933,1150000
9086934,2500000
9086935,400000
9086936,3450000
9086937,4400000
9086938,5010720
9086939,5180000
9086940,3550000
9086941,6100000
9086942,3100000
9086943,8100000
9086944,4323000
9086945,2550794
9086946,8100000
9086947,14000000
9086948,3750000
9086949,7500000
9086950,6367000
9086951,13000000
9086952,17000000
9086953,12270917
9086954,5350000
9086955,2000000
9086956,4480000
9086957,5100000
9086958,3500000
9086959,3100000
9086960,2150000
9086961,4100000
9086962,6100000
9086963,2980000
9086964,14700000
9086965,7500000
9086966,3500000
9086967,9200000
9086968,11000000
9086969,2380000
9086970,3350000
9086971,2997900
9086972,4150000
9086973,1300000
9086974,5680800
9086975,3790000
9086976,3920000
9086977,2400000
9086978,480000
9086979,4888000
9086980,2100000
9086981,8900000
9086982,4000000
9086983,5600000
9086984,2900000
9086985,2930000
9086986,5950000
9086987,5000000
9086988,4200000
9086989,3990000
9086990,6990000
9086991,2150000
9086992,6000000
9086993,1980000
9086994,12100000
9086995,5350000
9086996,2100000
9086997,2350000
9086998,249000
9086999,5550000
9087000,3100000
9087001,5555555
9087002,7000000
9087003,5650000
9087004,7095000
9087005,7095000
9087006,22500000
9087007,5350000
9087008,4900000
9087009,10500000
9087010,9300000
9087011,3962000
9087012,3000000
9087013,8900000
9087014,13000000
9087015,3000000
9087016,3250000
9087017,2650000
9087018,3250000
9087019,3850000
9087020,7990000
9087021,3350000
9087022,3600000
9087023,8990000
9087024,990000
9087025,5500000
9087026,499999
9087027,1450000
9087028,9300000
9087029,3158100
9087030,5695690
9087031,4048110
9087032,1800000
9087033,2885850
9087034,3500000
9087035,2850000
9087036,930000
9087037,7499000
9087038,4400000
9087039,17900000
9087040,31500000
9087041,15500000
9087042,4600000
9087043,1700000
9087044,35000000
9087045,1950000
9087046,7300000
9087047,5125000
9087048,4800000
9087049,7000000
9087050,4800000
9087051,9100000
9087052,4599000
9087053,3850000
9087054,4900000
9087055,2150000
9087056,5178195
9087057,4080000
9087058,6000000
9087059,4350000
9087060,4600000
9087061,2078504
9087062,3100000
9087063,6750000
9087064,5600000
9087065,10000000
9087066,9900000
9087067,4550000
9087068,2500000
9087069,4500000
9087070,4650000
9087071,35750000
9087072,7000000
9087073,2400000
9087074,4150000
9087075,7800000
9087076,1800000
9087077,4050000
9087078,3800000
9087079,4100000
9087080,9200000
9087081,9500000
9087082,16300000
9087083,4567870
9087084,1650000
9087085,3172500
9087086,5062373
9087087,9495000
9087088,9250000
9087089,3100000
9087090,3470000
9087091,3900000
9087092,3160000
9087093,4600000
9087094,5000000
9087095,3275100
9087096,1660000
9087097,12790000
9087098,9650000
9087099,1600000
9087100,3700000
9087101,2668050
9087102,850000
9087103,2850000
9087104,4300000
9087105,2550000
9087106,3750000
9087107,2100000
9087108,1750000
9087109,2500000
9087110,3750000
9087111,34000000
9087112,9912495
9087113,3380000
9087114,3200000
9087115,6539000
9087116,6900000
9087117,3100000
9087118,6800000
9087119,7963200
9087120,13500000
9087121,4480000
9087122,3350000
9087123,3100000
9087124,4850000
9087125,3607500
9087126,4300000
9087127,5500000
9087128,71717647
9087129,3560000
9087130,4290000
9087131,800000
9087132,37200000
9087133,31500000
9087134,6200000
9087135,3200000
9087136,47500000
9087137,8250000
9087138,2200000
9087139,8250000
9087140,5800000
9087141,15700000
9087142,12500000
9087143,3790000
9087144,3569487
9087145,3790000
9087146,8050000
9087147,4850000
9087148,6800000
9087149,4662000
9087150,10400000
9087151,12000000
9087152,3000000
9087153,2300000
9087154,5700000
9087155,1600000
9087156,9560000
9087157,7784000
9087158,2650000
9087159,3900000
9087160,7600000
9087161,2060000
9087162,3500000
9087163,8450000
9087164,6200000
9087165,8600000
9087166,3596978
9087167,1900000
9087168,490000
9087169,2945000
9087170,3250000
9087171,4190000
9087172,2450000
9087173,6400000
9087174,640000
9087175,7000000
9087176,15099000
9087177,7650000
9087178,1600000
9087179,9715200
9087180,8100000
9087181,2600000
9087182,4413800
9087183,2050000
9087184,2294500
9087185,2900000
9087186,4500000
9087187,3000000
9087188,7350000
9087189,4392000
9087190,3969000
9087191,6113968
9087192,4634000
9087193,3474000
9087194,5139000
9087195,6149360
9087196,6136720
9087197,4850000
9087198,6750000
9087199,6750000
9087200,4800000
9087201,2399000
9087202,6136720
9087203,6113968
9087204,3246380
9087205,1750000
9087206,3594000
9087207,2294500
9087208,1499900
9087209,8000000
9087210,2800000
9087211,14200000
9087212,16200000
9087213,7500000
9087214,13500000
9087215,2300000
9087216,2100000
9087217,7825000
9087218,1700000
9087219,7470000
9087220,3150000
9087221,2640000
9087222,3900000
9087223,4500000
9087224,5250000
9087225,9000000
9087226,6650000
9087227,5850000
9087228,2700000
9087229,1299999
9087230,12480000
9087231,9150000
9087232,3000000
9087233,4950000
9087234,3300000
9087235,220000
9087236,4600000
9087237,3000000
9087238,5560000
9087239,2294500
9087240,2262000
9087241,2970000
9087242,8600000
9087243,4050000
9087244,1850000
9087245,1880000
9087246,3700000
9087247,3830000
9087248,2700000
9087249,2700000
9087250,6999000
9087251,8700000
9087252,4100000
9087253,5500000
9087254,10800000
9087255,12400000
9087256,4700000
9087257,5150000
9087258,5150000
9087259,6700000
9087260,2000000
9087261,3061000
9087262,3073000
9087263,2994000
9087264,3250000
9087265,3050000
9087266,3064000
9087267,2500000
9087268,2230000
9087269,7000000
9087270,27435200
9087271,11700000
9087272,1450000
9087273,2900000
9087274,3650000
9087275,3900000
9087276,4980000
9087277,13000000
9087278,5400000
9087279,8630000
9087280,12400000
9087281,6150000
9087282,1800000
9087283,3150000
9087284,2450000
9087285,2000000
9087286,4900000
9087287,3850000
9087288,3200000
9087289,4850000
9087290,4200000
9087291,6100000
9087292,1550000
9087293,7000000
9087294,3050000
9087295,2050000
9087296,3000000
9087297,3300000
9087298,8600000
9087299,3060000
9087300,33900000
9087301,2500000
9087302,2490000
9087303,2600000
9087304,1950000
9087305,4750000
9087306,4100000
9087307,18000000
9087308,31000000
9087309,16900000
9087310,5500000
9087311,5500000
9087312,5300000
9087313,1299000
9087314,2700000
9087315,10700000
9087316,4100000
9087317,5500000
9087318,4650000
9087319,5500000
9087320,7000000
9087321,4150000
9087322,18000000
9087323,15000000
9087324,30000000
9087325,7400000
9087326,2300000
9087327,1100000
9087328,5100000
9087329,3900000
9087330,2350000
9087331,4400000
9087332,3200000
9087333,9120000
9087334,2900000
9087335,1886000
9087336,179000000
9087337,1400000
9087338,1690000
9087339,1350000
9087340,2690000
9087341,3580000
9087342,5200000
9087343,11000000
9087344,3628087
9087345,7203196
9087346,3404000
9087347,5300000
9087348,4500000
9087349,7000000
9087350,2900000
9087351,3300000
9087352,3500000
9087353,3970000
9087354,3250000
9087355,5500000
9087356,2600000
9087357,6650000
9087358,4200000
9087359,3999000
9087360,5000000
9087361,2650000
9087362,2750000
9087363,4430000
9087364,7800000
9087365,1500000
9087366,3700000
9087367,5700000
9087368,2200000
9087369,14700000
9087370,5500000
9087371,10500000
9087372,3950000
9087373,3400000
9087374,2450000
9087375,6700000
9087376,2900000
9087377,1900000
9087378,2150000
9087379,10700000
9087380,2450000
9087381,23100000
9087382,2290000
9087383,2730000
9087384,5930000
9087385,1600000
9087386,3500000
9087387,3190290
9087388,7590000
9087389,14500000
9087390,4300000
9087391,2550000
9087392,13500000
9087393,1900000
9087394,17700000
9087395,5900000
9087396,3800000
9087397,17148529
9087398,7490000
9087399,7800000
9087400,19999476
9087401,8380000
9087402,3800000
9087403,2900000
9087404,1850000
9087405,3219000
9087406,1850000
9087407,4850000
9087408,11600000
9087409,4650000
9087410,1500000
9087411,4980000
9087412,4590000
9087413,14000000
9087414,76900000
9087415,4950000
9087416,14700000
9087417,6000000
9087418,3450000
9087419,1850000
9087420,2067000
9087421,13200000
9087422,3700000
9087423,5100000
9087424,9400000
9087425,1995000
9087426,4600000
9087427,11000000
9087428,10500000
9087429,1400000
9087430,2850000
9087431,5550000
9087432,2650000
9087433,9600000
9087434,4450000
9087435,12500000
9087436,5000000
9087437,400000
9087438,2250000
9087439,2100000
9087440,3000000
9087441,1500000
9087442,6430000
9087443,13200000
9087444,16250000
9087445,15000000
9087446,2800000
9087447,2400000
9087448,3980000
9087449,2801400
9087450,2267760
9087451,1470000
9087452,2841855
9087453,1900000
9087454,6200000
9087455,5299999
9087456,1500000
9087457,3199000
9087458,5000000
9087459,1540000
9087460,2200000
9087461,3100000
9087462,4600000
9087463,3000000
9087464,5280000
9087465,3280000
9087466,5600000
9087467,5800000
9087468,5050000
9087469,12990000
9087470,1780000
9087471,3150000
9087472,2670000
9087473,1500000
9087474,3200000
9087475,3850000
9087476,6000000
9087477,1635000
9087478,3000000
9087479,2600000
9087480,1600000
9087481,3440000
9087482,1850000
9087483,5600000
9087484,6900000
9087485,14000000
9087486,4450000
9087487,4400000
9087488,3800000
9087489,2950000
9087490,2950000
9087491,2300000
9087492,40900000
9087493,17500000
9087494,10600000
9087495,4250000
9087496,3000000
9087497,3750000
9087498,6655000
9087499,2120000
9087500,13500000
9087501,1700000
9087502,3150000
9087503,2599999
9087504,12000000
9087505,11999000
9087506,2500000
9087507,5292700
9087508,950000
9087509,5060000
9087510,6800000
9087511,11200000
9087512,5800000
9087513,2000000
9087514,3100000
9087515,4999000
9087516,3990000
9087517,1220000
9087518,3050000
9087519,2900000
9087520,2300000
9087521,1300000
9087522,1890000
9087523,1850000
9087524,1400000
9087525,3700000
9087526,3400000
9087527,6800000
9087528,3300000
9087529,4500000
9087530,12200000
9087531,2200000
9087532,5900000
9087533,2000000
9087534,5570000
9087535,5500000
9087536,3750000
9087537,6000000
9087538,3220000
9087539,3060000
9087540,4900000
9087541,1650000
9087542,5100000
9087543,2950000
9087544,25000000
9087545,3000000
9087546,3800000
9087547,1155000
9087548,650000
9087549,2300000
9087550,14850000
9087551,2710000
9087552,20500000
9087553,8850000
9087554,3000000
9087555,5800000
9087556,3920000
9087557,4700000
9087558,970000
9087559,570000
9087560,3198000
9087561,3050000
9087562,1050000
9087563,7943000
9087564,2450000
9087565,3990000
9087566,2350000
9087567,1200000
9087568,4000000
9087569,3400000
9087570,16250000
9087571,9421800
9087572,985000
9087573,6200000
9087574,7899000
9087575,6100000
9087576,2800000
9087577,2450000
9087578,2700000
9087579,2700000
9087580,5900000
9087581,3050000
9087582,2000000
9087583,5050000
9087584,2600000
9087585,7990000
9087586,20200000
9087587,5800000
9087588,9000000
9087589,1600000
9087590,2800000
9087591,4500000
9087592,5500000
9087593,2900000
9087594,4900000
9087595,8400000
9087596,1350000
9087597,13340000
9087598,2900000
9087599,1590000
9087600,1360000
9087601,1390000
9087602,1590000
9087603,1590000
9087604,4145000
9087605,5100000
9087606,6400000
9087607,2000000
9087608,2100000
9087609,2700000
9087610,2350000
9087611,4300000
9087612,5200000
9087613,3190000
9087614,2850000
9087615,4100000
9087616,17300000
9087617,3100000
9087618,3500000
9087619,3500000
9087620,12518400
9087621,1420000
9087622,8400000
9087623,930000
9087624,1400000
9087625,3952700
9087626,3814800
9087627,10000000
9087628,10200000
9087629,1620000
9087630,7085000
9087631,2300000
9087632,1550000
9087633,5200000
9087634,7900000
9087635,5500000
9087636,4500000
9087637,1390000
9087638,1950000
9087639,9950000
9087640,5800000
9087641,2000000
9087642,8300000
9087643,3555636
9087644,5800000
9087645,2650000
9087646,8500000
9087647,2850000
9087648,6700000
9087649,4450000
9087650,6500000
9087651,4750000
9087652,5950000
9087653,6500000
9087654,4200000
9087655,4600000
9087656,8600000
9087657,5100000
9087658,2250000
9087659,5700000
9087660,3380000
9087661,1400000
9087662,4600000
9087663,3490000
9087664,3100000
9087665,6200000
9087666,10300000
9087667,4250000
9087668,4800000
9087669,3550000
9087670,2336100
9087671,4034800
9087672,2363750
9087673,4780400
9087674,5079650
9087675,2642640
9087676,4200000
9087677,6250000
9087678,11000000
9087679,4200000
9087680,10300000
9087681,2700000
9087682,1934130
9087683,2679200
9087684,3750000
9087685,2900000
9087686,2300000
9087687,8200000
9087688,5040000
9087689,4680000
9087690,900000
9087691,21300000
9087692,4170000
9087693,970000
9087694,3388450
9087695,10400000
9087696,5520000
9087697,9600000
9087698,10700000
9087699,5900000
9087700,11000000
9087701,8850000
9087702,8600000
9087703,17385000
9087704,5520000
9087705,7000000
9087706,5520000
9087707,6000000
9087708,6500000
9087709,5040000
9087710,4920000
9087711,6500000
9087712,16000000
9087713,5760000
9087714,5640000
9087715,21837000
9087716,13500000
9087717,13600000
9087718,7700000
9087719,37000000
9087720,12500000
9087721,8900000
9087722,13108000
9087723,4034900
9087724,6000000
9087725,2650000
9087726,11340000
9087727,11100000
9087728,4300000
9087729,10990000
9087730,1600000
9087731,3350000
9087732,1750000
9087733,2400000
9087734,17000000
9087735,46000000
9087736,65000000
9087737,6000000
9087738,2300000
9087739,9900000
9087740,5890000
9087741,1210000
9087742,6950000
9087743,4390000
9087744,2600000
9087745,5990000
9087746,2280000
9087747,2500000
9087748,9912000
9087749,2300000
9087750,1300000
9087751,12350000
9087752,2150000
9087753,2800000
9087754,7999999
9087755,3999000
9087756,12700000
