id,date,level,levels,rooms,area,kitchen_area,geo_lat,geo_lon,building_type,object_type,postal_code,street_id,id_region,house_id,price
0,2021-01-01,15,31,1,30.3,0,56.7801124,60.6993548,0,2,620000,,66,1632918,2451300
1,2021-01-01,5,5,1,33,6,44.6081542,40.1383814,0,0,385000,,1,,1450000
2,2021-01-01,4,13,3,85,12,55.5400601,37.7251124,3,0,142701,242543,50,681306,10700000
3,2021-01-01,3,5,3,82,9,44.6081542,40.1383814,0,0,385000,,1,,3100000
4,2021-01-01,2,3,1,30,9,44.7386846,37.7136681,3,2,353960,439378,23,1730985,2500000
5,2021-01-01,5,5,2,47,6,48.5111715,44.5668459,2,0,400096,260588,34,1009994,1450000
6,2021-01-01,2,4,3,107.4,21.3,55.0099136,82.9348589,4,0,630102,233285,54,2823596,9000000
7,2021-01-01,1,2,3,54,7,51.8347031,107.6005709,0,0,670034,,3,,2990000
8,2021-01-01,16,18,1,39.7,11.5,45.0038685,39.0865107,4,0,350065,523822,23,1284243,2300000
9,2021-01-01,2,2,2,53.2,16,53.164362,45.033956,5,0,440003,,58,,2290000
10,2021-01-01,1,19,-1,10.1,2,55.778026,37.540147,3,0,123007,580339,77,2069062,3350000
11,2021-01-01,8,9,3,100,0,57.104626,65.58797,4,0,625046,450441,72,2825516,5000000
12,2021-01-01,5,17,-1,32.44,0,55.4624497,37.700041,0,2,102321,,50,799789,3214804
13,2021-01-01,19,20,2,40,-100,55.0552885,82.8941912,3,0,630082,557992,54,2715855,3750000
14,2021-01-01,3,17,2,62.4,9.7,55.6905542,37.8635456,0,0,140002,,50,,11100000
15,2021-01-01,10,13,2,66.7,14.6,59.8511787,30.4116573,4,2,192288,569976,78,1690045,8865000
16,2021-01-01,6,7,-1,26,4,57.1529744,65.5344099,3,2,625062,229121,72,880012,2650000
17,2021-01-01,2,4,3,62.4,7.7,48.7811242,44.5777823,4,0,400009,,34,,2300000
18,2021-01-01,5,9,3,61,7.5,57.6881859,39.76105,2,0,150063,190251,76,1940462,2500000
19,2021-01-01,5,9,2,56.8,8,54.7422365,55.9962363,4,0,450097,458583,2,918972,4650000
20,2021-01-01,5,5,1,49.7,0,54.6033362,36.2673399,4,0,248031,564060,40,2657892,2435000
21,2021-01-01,6,9,2,62.9,11.2,45.0381364,38.9212563,0,0,350004,209279,23,2170951,5000000
22,2021-01-01,10,18,2,55,11,45.0732145,39.0387712,4,0,350901,550810,23,704175,3450000
23,2021-01-01,5,5,2,46.1,0,54.298622,48.332397,0,0,432028,,73,,1650000
24,2021-01-01,5,5,3,60,9,56.4449573,53.766105,4,0,427961,431723,18,2388350,2250000
25,2021-01-01,2,2,3,70.7,11,52.8590666,39.8182962,4,0,399140,,48,,1250000
26,2021-01-01,5,5,3,64,-100,50.5365229,137.0290803,4,0,681000,317006,27,2279129,2700000
27,2021-01-01,4,6,1,32,6,44.7275009,37.7511461,2,0,353907,568636,23,1953752,2900000
28,2021-01-01,6,7,1,36,16,57.1529744,65.5344099,4,2,625062,229121,72,880012,3650000
29,2021-01-01,4,5,1,34,6.5,52.985992,158.6709,0,0,683013,,41,,2600000
30,2021-01-01,3,4,3,54,-100,51.9114659,102.4355979,4,0,671023,153245,3,632956,900000
31,2021-01-01,5,5,1,31,6,57.6036524,39.8193541,4,0,150029,219632,76,1932159,1350000
32,2021-01-01,5,5,3,57.9,6,53.5188796,50.1372729,4,0,443901,139613,63,1034124,1800000
33,2021-01-01,2,3,1,40,10.2,54.50598,36.251661,4,2,,,40,1179265,2250000
34,2021-01-01,2,17,1,36.99,11.72,55.5639247,37.8255637,4,2,142714,,50,1704996,4296056
35,2021-01-01,1,4,3,62,7,44.611368,40.105483,0,0,385000,,1,,3100000
36,2021-01-01,11,22,3,109,15.5,55.702794,37.666153,3,0,115432,451495,77,1430362,30000000
37,2021-01-01,4,9,1,32,5,56.2966828,101.7603955,0,0,665707,339190,38,2686707,2300000
38,2021-01-01,8,29,3,69.8,11.6,55.8349584,37.6373778,0,2,129226,201942,77,1251884,22112640
39,2021-01-01,4,5,3,56.6,6,44.611368,40.105483,0,0,385000,,1,,2700000
40,2021-01-01,3,4,2,54,0,43.047672,44.671295,0,0,362021,194558,15,2275604,2370000
41,2021-01-01,1,14,2,50,-100,43.5821663,39.727345,3,0,354000,151411,23,1278090,4200000
42,2021-01-01,1,5,1,29.9,0,61.8012114,34.2904993,2,0,185013,586421,10,1098069,1690000
43,2021-01-01,4,8,2,50.4,9.6,54.711208,20.497776,0,0,236006,,39,,4800000
44,2021-01-01,2,2,2,48,8,52.6214385,51.274101,5,0,446643,210091,63,2376977,750000
45,2021-01-01,5,10,3,67.1,9,44.7415855,37.7238478,2,0,353912,568636,23,1196149,5300000
46,2021-01-01,8,16,1,45.2,14.3,45.093524,39.005613,3,0,350024,317008,23,2108202,2300000
47,2021-01-01,9,10,3,66,11,44.7415855,37.7238478,2,0,353912,568636,23,1196149,4900000
