packet_id,delivered,Usage
80622,1,Public
16871,1,Private
66647,1,Private
77610,1,Public
101232,0,Public
31405,1,Private
49640,1,Public
97002,1,Private
81246,1,Public
99433,1,Public
78226,0,Public
54548,1,Public
30778,1,Private
56327,0,Private
43576,0,Private
25957,0,Private
90907,0,Private
16872,1,Public
24134,1,Public
37480,0,Public
107339,1,Public
47875,0,Public
43577,0,Public
46063,1,Public
6569,0,Public
31406,1,Private
93985,0,Private
10809,0,Public
2355,0,Public
58750,1,Private
75178,1,Private
43578,0,Public
69739,1,Private
78804,1,Public
61205,0,Public
13787,1,Private
19325,1,Private
63610,1,Public
114008,1,Private
16873,1,Public
16874,1,Public
67878,0,Private
106117,1,Public
90908,0,Private
56931,0,Public
51488,0,Private
2356,1,Public
16875,1,Public
57519,1,Private
104260,1,Private
50851,0,Private
103068,1,Public
70358,1,Public
35591,0,Private
80623,1,Private
69126,1,Public
89117,1,Public
110410,1,Public
87937,1,Public
114600,1,Public
108591,1,Public
76981,1,Private
34407,1,Private
62411,0,Private
98817,1,Private
6570,0,Public
25349,0,Public
52098,1,Public
94615,1,Public
30181,1,Public
118236,1,Private
100020,1,Public
73416,0,Public
64225,1,Public
100021,1,Public
41738,1,Public
67290,1,Public
62412,0,Public
103069,1,Public
88535,0,Private
86154,1,Private
16258,1,Public
12007,1,Public
34990,1,Public
56932,0,Public
12596,1,Public
103676,0,Public
33190,1,Public
82466,1,Public
106118,1,Private
120703,0,Public
55757,0,Private
85525,1,Public
71538,0,Private
34991,0,Private
21760,0,Public
64824,1,Public
46668,0,Private
95819,1,Public
79424,1,Public
120704,0,Private
121326,1,Public
110999,0,Public
80009,1,Private
47278,1,Public
121327,1,Private
69127,1,Private
81247,1,Public
69740,1,Public
105489,1,Public
42365,0,Private
68500,1,Private
86155,1,Public
113407,1,Public
41739,1,Public
110411,1,Public
47279,1,Public
5402,1,Public
73417,0,Private
56933,0,Public
75179,1,Public
42991,1,Public
50852,0,Public
84297,1,Public
50248,1,Public
80010,1,Public
58751,1,Public
43579,0,Private
88536,0,Private
14430,1,Public
103070,1,Public
77611,1,Public
75180,1,Public
73418,0,Private
21761,1,Private
83069,1,Private
53319,0,Private
74601,0,Public
92754,1,Private
88537,0,Private
87938,1,Public
58129,0,Public
75777,1,Private
33191,1,Private
59383,1,Public
515,1,Public
102460,0,Public
96407,1,Private
87347,1,Public
61821,0,Private
7185,1,Public
2943,1,Public
89698,0,Private
5989,1,Private
19326,1,Public
44208,0,Private
119448,1,Public
47280,1,Public
2357,1,Public
90909,0,Public
93986,1,Public
107973,0,Public
97601,0,Public
2944,1,Private
1146,0,Private
63022,1,Public
34408,1,Private
32575,0,Public
42366,0,Private
118842,0,Private
25350,1,Public
19327,1,Private
46064,1,Private
42367,0,Public
5990,1,Private
54549,1,Private
97602,0,Private
34992,1,Private
110412,1,Public
107974,0,Public
111000,0,Public
94616,1,Private
52099,1,Public
59384,1,Public
34993,0,Private
117015,0,Private
32576,0,Private
17485,1,Private
116442,1,Private
80012,1,Private
52690,1,Private
58752,1,Public
32014,1,Public
80011,1,Public
53949,1,Public
92755,1,Public
72163,0,Public
120080,1,Private
29577,1,Private
55164,0,Public
45439,0,Public
51489,1,Public
67291,1,Public
101849,0,Private
59991,1,Public
89118,1,Public
92131,0,Private
114009,1,Public
56934,0,Public
56328,1,Public
6571,0,Private
32577,0,Private
79425,1,Public
7786,1,Public
46669,0,Private
108592,1,Private
30182,0,Public
10810,0,Private
61206,0,Private
25958,0,Private
41740,0,Private
39917,0,Public
38072,1,Public
68501,1,Public
61207,0,Private
56329,1,Private
118237,1,Public
86744,1,Public
22360,1,Public
35592,0,Private
47876,0,Private
61208,0,Public
90266,1,Private
103071,1,Public
87348,1,Private
50249,1,Private
110413,1,Private
11405,0,Public
67879,0,Private
105490,1,Private
83687,1,Public
22978,1,Public
92132,0,Public
89119,1,Public
54550,1,Public
98818,1,Private
117017,0,Private
92756,1,Private
117016,0,Private
7787,0,Private
100606,1,Public
516,0,Private
51490,1,Public
17486,1,Public
83688,1,Private
92133,0,Public
71539,0,Private
95820,1,Private
33777,1,Public
60605,0,Public
106715,1,Public
27121,1,Public
72787,0,Private
4147,1,Private
72788,0,Public
73419,0,Public
48467,1,Private
6572,0,Private
88538,0,Private
114601,1,Public
24732,0,Public
20607,1,Private
46065,1,Public
103677,1,Public
102461,1,Private
38073,1,Public
30183,1,Private
67880,0,Private
78227,0,Private
73998,1,Private
65451,1,Private
13788,0,Public
25351,1,Public
31407,1,Public
67292,1,Private
67293,1,Private
48468,1,Private
39316,0,Private
8986,1,Public
75181,1,Public
114602,1,Private
114010,1,Private
89120,1,Private
59385,0,Private
41124,1,Public
16876,1,Public
42992,1,Private
118843,0,Private
75778,1,Public
88539,0,Public
42993,1,Private
115229,1,Private
49051,1,Public
93378,1,Public
97603,0,Public
42994,1,Public
29578,1,Public
87349,0,Public
52100,1,Public
30184,1,Public
56935,0,Public
27122,0,Private
2945,1,Public
100607,0,Private
89699,0,Private
53320,0,Public
100608,1,Public
107975,0,Public
61209,0,Public
59992,0,Private
109775,1,Public
36206,0,Public
49641,0,Private
80013,1,Public
517,1,Public
61822,1,Public
17487,1,Public
117018,0,Public
32578,0,Public
107340,1,Public
89121,1,Public
58753,1,Public
80624,1,Public
21165,1,Private
4148,0,Public
19328,1,Public
25352,1,Private
76982,1,Private
29579,1,Public
120081,1,Public
76383,0,Public
16877,1,Public
47281,0,Private
66061,1,Private
112810,0,Private
36207,0,Private
27123,0,Public
84298,1,Private
59386,1,Public
65452,1,Private
39317,1,Public
92134,0,Public
24135,0,Private
66062,1,Public
32579,0,Public
65453,1,Public
31408,1,Private
50250,1,Public
41125,1,Public
71540,0,Private
84299,1,Private
110414,1,Public
25353,0,Private
13789,0,Private
59387,1,Public
72164,1,Public
93987,1,Private
51491,1,Public
70933,0,Public
69741,1,Public
77612,1,Public
100609,1,Public
1147,0,Public
62413,0,Private
87939,1,Public
62414,0,Private
22979,1,Public
55758,0,Public
72789,0,Private
28340,1,Private
112209,1,Private
109168,0,Private
25354,1,Private
50251,1,Public
18737,1,Public
73999,1,Public
39318,1,Public
64825,1,Private
42368,0,Public
83689,1,Private
85526,1,Public
71541,0,Private
15020,1,Public
80625,1,Private
57520,1,Private
16878,1,Public
35593,1,Private
74000,1,Public
93988,1,Private
50252,1,Public
58130,0,Public
64826,1,Public
39918,0,Public
121328,1,Public
52101,1,Public
47282,0,Private
67881,0,Private
82467,1,Public
97003,1,Public
30779,1,Public
87940,1,Public
41741,1,Private
64827,1,Public
49642,0,Public
74001,1,Public
16259,1,Private
68502,1,Private
9566,0,Private
33778,1,Private
6573,0,Private
18738,1,Private
2946,1,Public
90910,0,Private
117019,0,Private
80014,1,Public
15647,1,Public
93989,0,Private
16879,1,Private
