packet_id,user_id,timestamp_minute,session_duration_s,packet_size,distance_to_router,signal_strength,channel_load,device_type,os,protocol,request_type,destination_host,priority,is_encrypted,vpn_active,preferred_dns,battery_level,movement_speed,retry,delivered
24613,40,15610,72,54146,5.12,-79.26,0.257,iot,android,udp,download,huggingface.co,medium,False,True,208.67.222.222,30.7,0.15,0,1
82949,136,15491,62,1527,12.57,22.72,0.258,laptop,linux,tcp,browsing,vk.com,low,False,True,208.67.222.222,43.9,1.21,0,1
28071,46,9899,106,28682,13.73,-56.34,0.218,phone,ios,tcp,download,dl.google.com,medium,True,False,208.67.222.222,25.2,0.18,0,1
38627,63,17835,1049,805,8.71,-73.55,0.596,phone,ios,udp,gaming,ubisoft.com,high,True,False,208.67.222.222,56.3,4.97,1,0
88110,145,3990,2197,3875,10.39,-58.31,0.464,phone,android,udp,gaming,wargaming.net,low,False,False,208.67.222.222,19.5,0.47,0,1
88312,145,12091,2302,676,10.1,-77.54,0.561,phone,android,udp,gaming,riot.com,high,False,False,9.9.9.9,83.6,2.36,1,0
56912,93,19386,58,946,10.63,-61.21,0.64,iot,linux,tcp,browsing,rambler.ru,low,False,True,8.8.8.8,74.9,0.06,0,1
115511,190,8195,3221,4490,21.21,-38.99,0.558,phone,ios,udp,gaming,gaijin.net,high,True,False,9.9.9.9,36.8,0.31,0,1
68008,112,260,1344,1839,20.39,-70.31,0.256,phone,android,udp,gaming,epicgames.com,low,True,False,9.9.9.9,51.3,1.69,0,1
60839,100,5611,204,52147,6.49,35.78,0.218,laptop,windows,tcp,download,pypi.org,low,False,True,8.8.8.8,37.2,0.05,1,0
11924,19,16395,93,25283,2.82,-74.49,0.38,phone,ios,tcp,browsing,telegram.org,low,True,True,8.8.8.8,100.0,1.05,0,1
73898,121,15862,84,162,23.13,-35.47,0.128,phone,ios,udp,browsing,mail.ru,low,True,False,1.1.1.1,61.3,0.83,0,1
87153,143,12682,114,1652,11.61,57.56,0.195,laptop,windows,tcp,browsing,vk.com,low,True,False,208.67.222.222,31.9,0.26,0,1
26163,43,4646,164,38074,0.5,38.58,0.141,laptop,windows,tcp,download,yadi.sk,medium,False,False,8.8.8.8,63.4,0.71,1,0
98003,161,12543,1080,50839,18.62,45.14,0.406,laptop,macos,udp,streaming,ivi.ru,medium,False,,8.8.8.8,12.4,0.34,0,1
118977,196,1009,925,51912,3.84,117.93,0.616,laptop,windows,udp,streaming,smotrim.ru,high,False,,8.8.8.8,42.3,0.6,0,1
64957,107,1077,118,1614,11.31,-57.34,0.378,phone,android,tcp,browsing,habr.com,high,False,False,9.9.9.9,20.3,2.17,0,1
94886,156,6408,543,17298,9.96,-86.65,0.551,iot,linux,quic,download,releases.1c.ru,medium,False,False,,66.6,0.08,0,1
112539,185,8986,292,48240,8.06,-57.34,0.141,iot,android,udp,download,onedrive.live.com,low,False,True,,70.4,0.12,1,0
101083,166,14124,1427,10955,16.49,-4.15,0.319,laptop,macos,tcp,streaming,start.ru,high,False,False,1.1.1.1,18.3,1.11,1,0
91745,151,4852,187,56860,0.83,-73.24,0.432,iot,linux,tcp,download,mega.nz,medium,False,,9.9.9.9,70.1,0.2,0,1
64407,106,3191,202,26037,10.53,-24.46,0.051,phone,ios,tcp,download,releases.1c.ru,low,True,True,,61.5,0.51,1,0
101109,166,15247,3244,2126,13.74,31.06,0.624,laptop,macos,udp,gaming,faceit.com,high,False,False,9.9.9.9,63.3,0.06,1,0
29066,48,1146,116,320,11.6,-77.92,0.309,phone,ios,udp,browsing,yandex.ru,low,True,False,1.1.1.1,26.3,0.53,0,1
118765,195,16965,62,1378,0.57,-47.53,0.468,phone,android,tcp,browsing,ok.ru,high,True,False,8.8.8.8,19.0,2.18,0,1
54491,89,17916,229,56877,9.54,-67.62,0.558,phone,ios,tcp,download,cdn.yandex.net,high,True,True,8.8.8.8,61.9,0.13,0,1
59714,98,8606,35,385,13.4,-72.12,0.151,phone,ios,tcp,browsing,tbank.ru,high,False,False,,57.7,0.96,0,1
8183,13,12608,1940,2676,16.43,-65.96,0.239,phone,android,udp,gaming,wargaming.net,high,False,False,,38.3,1.67,0,1
648,1,1179,154,574,10.91,-94.89,0.012,iot,android,udp,browsing,vk.com,medium,True,False,1.1.1.1,37.1,0.23,0,1
67740,111,13700,225,35378,19.75,-78.64,0.686,phone,ios,udp,download,cdn.yandex.net,low,False,False,,68.8,2.93,1,0
111922,184,7724,509,16451,26.28,4.45,0.376,laptop,windows,quic,download,github.com,medium,True,False,208.67.222.222,92.3,0.21,0,1
37895,62,13728,1689,30605,9.89,-50.8,0.578,phone,android,udp,streaming,twitch.tv,medium,False,False,9.9.9.9,72.1,1.74,0,1
13430,22,5080,81,1636,22.21,-85.84,0.69,phone,android,tcp,browsing,dzen.ru,medium,False,True,8.8.8.8,57.4,0.02,1,0
116368,191,16959,279,64455,22.07,86.23,0.27,laptop,windows,udp,download,yadi.sk,high,False,,8.8.8.8,33.3,0.32,0,1
46660,76,19838,63,10748,25.97,-98.84,0.402,phone,ios,tcp,download,github.com,medium,True,False,9.9.9.9,14.9,0.15,0,1
67784,111,15965,3556,1725,16.84,-76.16,0.284,phone,ios,udp,gaming,wargaming.net,high,False,False,1.1.1.1,65.3,1.85,1,0
111380,183,10987,536,46998,17.89,-103.16,0.55,iot,linux,tcp,download,cloud.mail.ru,low,False,False,1.1.1.1,59.5,0.07,1,0
79957,131,17940,124,56947,0.5,-13.02,0.606,phone,android,quic,download,releases.1c.ru,low,True,False,208.67.222.222,68.6,2.01,0,1
77437,127,14048,178,24036,0.5,-26.16,0.288,phone,android,udp,download,github.com,low,True,False,,11.0,0.54,0,1
58087,95,18602,892,18716,15.27,-63.34,0.498,phone,android,udp,streaming,more.tv,high,True,,8.8.8.8,30.2,2.76,1,0
